TimeStamp|Ticks|FrameNum|FPS|Robo|Xd|Yd|Xa|Ya|col|col|col|col|col|col|col|
20170115_120401|24248|13|12.1951||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120401|24355|14|9.61538||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120401|24434|15|12.0482||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120401|24518|16|12.3457||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120401|24608|17|11.7647||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120401|24698|18|10.7527||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120402|24836|19|7.0922||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120402|24978|20|7.0922||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120402|25117|21|7.19424||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120402|25216|22|10.3093||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120402|25354|23|7.24638||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120402|25496|24|7.14286||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120402|25637|25|7.0922||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|25771|26|7.0922||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|25912|27|7.14286||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
20170115_120403|26007|28|10.4167||0|0|0|0|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|-9.25596e+061|
